SPY.Open,SPY.High,SPY.Low,SPY.Close,SPY.Volume,SPY.Adjusted
111.720001,111.940002,111.379997,111.730003,27412900,83.285522
111.519997,112.040001,111,111.779999,35691300,83.322777
111.919998,112.019997,111.599998,111.860001,26752000,83.382408
111.260002,112.389999,111.120003,111.519997,54089400,83.128983
111.739998,111.910004,110.699997,110.800003,38403500,82.592262
111.57,111.669998,110.440002,110.709999,40871200,82.525192
110.75,110.959999,109.989998,110.239998,39592800,82.174858
110.529999,111.900002,110.25,111.639999,46679800,83.218422
111.82,112.059998,109.449997,109.580002,56241100,81.682861
109.360001,110.389999,108.769997,109.879997,72477100,81.906479
109.620003,109.709999,108.690002,108.959999,49610500,81.220695
109.190002,109.43,108.209999,108.75,49679100,81.064148
109.050003,110.110001,108.970001,109.769997,51295100,81.824486
109.550003,110.370003,108.589996,110.099998,65862300,82.070511
110.540001,110.870003,110,110.57,52200500,82.420807
110.32,110.900002,110.099998,110.839996,41581700,82.62207
110.190002,111.360001,110.050003,111.07,38263100,82.793541
110.93,111.059998,110.160004,110.209999,40948800,82.152466
109.889999,110.75,109.639999,110.199997,40763200,82.145035
110.290001,110.379997,108.269997,108.400002,50772000,80.803268
107.629997,107.959999,106.620003,106.849998,74729000,79.647858
107.019997,107.480003,106.870003,107,37476300,79.759666
107.309998,108.410004,107.260002,108.379997,55870600,80.788361
107.68,108.330002,107.099998,108.160004,52933200,80.624367
107.68,107.949997,106.629997,106.980003,50015900,79.744759
107.099998,107.349998,106.589996,107.190002,41634700,79.901314
107.139999,108.639999,107.099998,108.300003,45731900,80.728722
108.75,109.279999,108.529999,108.910004,40701600,81.183434
108.519997,110.169998,108.489998,110.029999,43165400,82.018333
109.809998,110.019997,109.18,109.709999,39881600,81.779778
109.610001,110.629997,109.510002,110.480003,44870900,82.353752
110.550003,110.769997,110.050003,110.199997,33745100,82.145035
110.639999,110.730003,109.849998,110.349998,30453100,82.256821
110.330002,111.269997,109.900002,111.099998,38551400,82.81591
110.959999,111.309998,110.849998,111.099998,26629500,82.81591
111.199997,111.629997,111.050003,111.449997,24902900,83.076775
111.220001,111.339996,110.449997,110.529999,26726500,82.391014
110.660004,111.160004,110.099998,111.110001,44125300,82.823334
110.949997,111.639999,110.480003,111.32,52778300,82.979881
111.239998,112.699997,111.239998,112.580002,42736600,83.919121
112.330002,112.82,112.010002,112.120003,30480500,83.57621
112.540001,113.129997,112.32,112.860001,37338800,84.127831
112.620003,113.059998,112.309998,112.580002,32963100,83.919121
112.57,112.879997,112.029999,112.480003,34314800,83.844566
112.519997,113.269997,112.080002,113.059998,27900600,84.276924
113.309998,113.739998,113.010002,113.43,44398100,84.552734
113.300003,113.690002,113.190002,113.660004,28048900,84.724152
113.300003,113.360001,112.68,112.800003,38295000,84.083115
112.849998,113.370003,112.800003,113.139999,23911700,84.336548
112.949997,113.360001,112.690002,113.150002,33683000,84.695099
112.669998,112.989998,112.279999,112.470001,37149400,84.186096
112.75,113.470001,112.540001,112.959999,40920800,84.552849
112.5,112.519997,111.470001,111.550003,49042100,83.497459
111.599998,111.699997,110.949997,110.949997,44068700,83.048317
111.169998,111.730003,111.129997,111.459999,34981100,83.430092
111.099998,111.199997,110.580002,110.75,39355100,82.898651
110.910004,111.510002,110.410004,111.279999,41662900,83.295349
111.209999,111.849998,111,111.839996,33325700,83.714531
111.550003,111.980003,111.260002,111.760002,43536700,83.654663
112.260002,113.650002,112.209999,113.650002,62824300,85.069366
114.099998,114.440002,113.800003,113.839996,33082400,85.211548
113.849998,114.160004,113.540001,113.900002,36910600,85.2565
113.769997,114.68,113.68,114.68,42297800,85.84034
114.379997,114.400002,113.360001,113.449997,39388800,84.919647
113.150002,113.769997,112.349998,112.510002,51872600,84.216042
112.779999,113.019997,112.639999,112.970001,20229100,84.560364
112.199997,112.830002,111.940002,112.529999,41754700,84.23101
113,113.07,111.32,111.540001,54212600,83.489983
111.68,111.93,110.580002,110.639999,64082200,82.816299
111.019997,111.739998,110.57,111.260002,63482200,83.280411
110.889999,111.900002,110.699997,111.68,43535100,83.594772
112.019997,112.230003,110.589996,110.739998,55851900,82.891151
110.379997,110.82,109.75,110.519997,57118500,82.726494
110.790001,111.32,110.209999,111.239998,53218300,83.265434
111.190002,111.25,109.860001,109.989998,48752400,82.329773
109.75,110.120003,109.349998,109.860001,43990900,82.232475
110.129997,111.599998,109.879997,111.540001,54337400,83.489983
111.379997,113.099998,111.120003,112.879997,73896000,84.492966
112.779999,113.559998,112.489998,113.220001,54413300,84.747513
113.120003,113.639999,112.900002,113.199997,48820200,84.732529
113.559998,113.839996,113.199997,113.510002,36720900,84.964569
113.669998,114.57,113.220001,113.550003,56210000,84.994514
115.029999,115.360001,114.239998,114.980003,76960200,86.064888
114.779999,116.669998,114.68,116.550003,55350300,87.240028
117.050003,117.639999,116.489998,117.279999,63287200,87.786476
116.980003,117.230003,116.720001,117.110001,33863800,87.659256
117.080002,117.5,116.760002,116.879997,44658100,87.487068
117.059998,117.550003,116.760002,116.970001,45265400,87.554474
117.18,118.120003,117.099998,117.860001,37863200,88.220642
117.970001,119,117.68,118.790001,55583700,88.916748
118.5,118.769997,118.230003,118.730003,35297900,89.135223
118.360001,118.410004,117.730003,117.879997,40028700,88.497093
118.370003,119.139999,118.07,118.580002,54494000,89.022621
118.529999,118.800003,118.230003,118.739998,31854300,89.1427
118.699997,118.720001,117.139999,117.419998,54276500,88.151733
117.169998,118.120003,117.029999,117.980003,37560200,88.572166
117.93,118.260002,117.370003,118.160004,41968800,88.707314
118.269997,118.589996,118.050003,118.440002,29724800,88.917488
